% Device,CC2325001
% File name,CC2325001_20240612_104808
% Cast time (UTC),2024-06-12 10:48:08
% Cast time (local),2024-06-12 11:48:08
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8490204
% Start longitude,-9.7701361
% Start altitude,62.387001037597656
% Start GPS horizontal error(Meter),6.8090000152587891
% Start GPS vertical error(Meter),8.4180002212524414
% Start GPS number of satellites,10
% End latitude,
% End longitude,
% End altitude,
% End GPS horizontal error(Meter),
% End GPS vertical error(Meter),
% End GPS number of satellites,
% Cast duration (Seconds),59.4
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14900354615840802,13.825627574078215,41145.31640625,52987.31659616562,34.417951213982406,1502.2266639759691,1025.7749940463368
0.44999999999999996,0.44699215118382457,13.826216747691429,41153.201782668366,52996.667239173257,34.424666366082761,1502.2414468861557,1025.7814014141259
0.74999999999999989,0.74498824391750873,13.839134747984456,41143.500673650291,52966.551573069504,34.403878261805296,1502.2640650368571,1025.7639845331023
1.05,1.0429864232921438,13.854886491680693,41166.220280786409,52974.315456565026,34.410834445956006,1502.3285475680634,1025.7674256711673
1.35,1.340981584996815,13.851170401728997,41184.40634873329,53002.787204192515,34.431030590088575,1502.3451574555456,1025.7851492836771
1.65,1.6389744614865247,13.839798585254005,41166.259676201196,52994.944844835605,34.4241699021426,1502.3049835611346,1025.7835478772724
1.9500000000000002,1.9369672319315412,13.838141641939393,41166.237803729557,52997.177598317634,34.425513508533363,1502.3061234262041,1025.7862690423533
2.25,2.2349574121837188,13.819250052172345,41162.377413409195,53017.9966873236,34.4387562135849,1502.2650691232814,1025.8017703012538
2.55,2.532943617653292,13.793012314245763,41144.845422182472,53031.2586824729,34.445830274001409,1502.1927586373695,1025.81402437024
2.85,2.8309280776600763,13.779130064603775,41126.010391709788,53025.957935616723,34.440573430710131,1502.1462190033312,1025.814177358058
3.15,3.1289146167328359,13.78066416249856,41106.744141041367,52999.020296295188,34.421046868283113,1502.1332011518639,1025.8000998797011
3.4499999999999997,3.4269027043657458,13.779231445056395,41108.500766212368,53003.243275277586,34.423853587122252,1502.1367875712265,1025.8039053135833
3.75,3.7248891941013569,13.747885060859231,41078.172331878661,53006.98640372161,34.423534398964371,1502.0389910445872,1025.8114909087688
4.05,4.022877626412261,13.728696136075383,41024.131309680153,52963.481091048918,34.390066817185954,1501.9418229718208,1025.7909207969956
