% Device,CC2325001
% File name,CC2325001_20240217_113159
% Cast time (UTC),2024-02-17 11:31:59
% Cast time (local),2024-02-17 11:31:59
% Sample type,Cast
% Cast data,Processed
% Location source,GPS
% Default latitude,32
% Default altitude,0
% Start latitude,53.8263568
% Start longitude,-9.6201945
% Start altitude,71.751998901367188
% Start GPS horizontal error(Meter),3.9149999618530273
% Start GPS vertical error(Meter),3.7239999771118164
% Start GPS number of satellites,11
% End latitude,53.8263453
% End longitude,-9.6201854
% End altitude,68.3479995727539
% End GPS horizontal error(Meter),12.227999687194824
% End GPS vertical error(Meter),12.972000122070313
% End GPS number of satellites,11
% Cast duration (Seconds),35.2
% Samples per second,5
% Electronics calibration date,0001-01-01
% Conductivity calibration date,2023-07-20
% Temperature calibration date,2023-07-19
% Pressure calibration date,2023-06-26
% 
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14921079226006029,9.0039704663279885,33761.23046875,49643.07109692035,31.469625761560849,1481.8824840853838,1024.3553076916435
0.44999999999999996,0.44755558740584078,8.993766339317764,34228.857819007419,50345.786161708333,31.962582354452792,1482.4540100870786,1024.7438546375295
0.74999999999999989,0.74582271859511184,8.9873278526903562,34456.5309718747,50690.261854680066,32.204322718016584,1482.7315814384265,1024.9353479232373
1.05,1.0440548569233454,8.9775799441195243,34505.411098048178,50776.7344743162,32.2637540525717,1482.773255155869,1024.9847242835126
1.35,1.342278898522101,8.973028182448898,34507.215029976905,50786.192571146741,32.2696255474086,1482.7684935804571,1024.9913909396564
1.65,1.6404874486167809,8.9641862622055548,34619.5588684491,50964.799511438359,32.394207797914127,1482.8934935385016,1025.0916115694445
1.9500000000000002,1.9386758431148505,8.9575261678158462,34658.528002919615,51032.174475312873,32.440643092933115,1482.9306988507376,1025.1303481096297
2.25,2.2368519565564631,8.9492521332127364,34704.790369322938,51112.746509327451,32.496161421430784,1482.9730704913811,1025.1764441180969
2.55,2.5350162363917663,8.9431075588649662,34740.484402249807,51174.578435404022,32.538770784645791,1483.0075026575344,1025.2121099528606
2.85,2.8331685363520003,8.93399725952227,34787.030347182146,51256.900389800823,32.5954134502693,1483.0481641261104,1025.2592192623779
3.15,3.13130868745574,8.9278067653398541,34824.059030463875,51320.822579724816,32.63950224597594,1483.0842522600947,1025.296053095085
3.4499999999999997,3.4294431425512792,8.9262578223468143,34824.199894255929,51323.373294825426,32.640937362772583,1483.0851911456709,1025.2987848974158
3.75,3.7275765356736792,8.9224452972412127,34824.648437500007,51329.802631197948,32.644774161114633,1483.0806785553009,1025.3037469510296
4.0309517221017312,4.0067790448152021,8.9218414985100427,34827.061665676192,51334.273328300755,32.647714860110995,1483.086660788558,1025.3074238632573
