Day,PCT.10 (ºC),mean (ºC),PCT.90 (ºC)
01-Jan,9.33,9.89,10.38
02-Jan,9.30,9.86,10.35
03-Jan,9.28,9.84,10.33
04-Jan,9.25,9.81,10.30
05-Jan,9.23,9.79,10.27
06-Jan,9.20,9.77,10.25
07-Jan,9.17,9.74,10.22
08-Jan,9.15,9.72,10.20
09-Jan,9.12,9.69,10.17
10-Jan,9.09,9.67,10.15
11-Jan,9.07,9.65,10.13
12-Jan,9.05,9.62,10.10
13-Jan,9.03,9.60,10.08
14-Jan,9.00,9.58,10.05
15-Jan,8.98,9.56,10.03
16-Jan,8.96,9.53,10.01
17-Jan,8.94,9.51,9.99
18-Jan,8.92,9.49,9.96
19-Jan,8.90,9.47,9.94
20-Jan,8.88,9.45,9.92
21-Jan,8.87,9.43,9.90
22-Jan,8.85,9.41,9.89
23-Jan,8.83,9.40,9.87
24-Jan,8.82,9.38,9.85
25-Jan,8.80,9.36,9.83
26-Jan,8.78,9.34,9.82
27-Jan,8.77,9.33,9.80
28-Jan,8.75,9.31,9.79
29-Jan,8.74,9.30,9.77
30-Jan,8.72,9.29,9.76
31-Jan,8.71,9.27,9.75
01-Feb,8.69,9.26,9.74
02-Feb,8.68,9.25,9.73
03-Feb,8.67,9.24,9.72
04-Feb,8.65,9.23,9.71
05-Feb,8.64,9.21,9.70
06-Feb,8.63,9.20,9.69
07-Feb,8.61,9.19,9.68
08-Feb,8.60,9.18,9.67
09-Feb,8.59,9.17,9.66
10-Feb,8.58,9.16,9.65
11-Feb,8.57,9.15,9.64
12-Feb,8.56,9.14,9.64
13-Feb,8.55,9.13,9.63
14-Feb,8.54,9.12,9.63
15-Feb,8.53,9.12,9.62
16-Feb,8.52,9.11,9.62
17-Feb,8.51,9.10,9.62
18-Feb,8.50,9.09,9.61
19-Feb,8.50,9.09,9.61
20-Feb,8.49,9.08,9.61
21-Feb,8.49,9.08,9.61
22-Feb,8.49,9.07,9.61
23-Feb,8.49,9.07,9.60
24-Feb,8.49,9.07,9.60
25-Feb,8.49,9.06,9.60
